,FLAT_started_FLAT_won,ZERO_started_FLAT_won,FLAT_started_Tie,ZERO_started_Tie,FLAT_started_ZERO_won,ZERO_started_ZERO_won
0,,,,,,11.0
1,,,,,,11.0
2,,,,,,11.0
3,,,,,12.0,
4,,,,,,11.0
5,,,,,12.0,
6,,,,,12.0,
7,,,,,,11.0
8,,,,,12.0,
9,,,,,12.0,
10,,,,,,11.0
11,,,,,,11.0
12,,,,,12.0,
13,,,,,12.0,
14,,,,,,11.0
15,,,,,,11.0
16,,,,,12.0,
17,,,,,,11.0
18,,,,,,11.0
19,,,,,,11.0
20,,,,,12.0,
21,,,,,12.0,
22,,,,,,11.0
23,,,,,12.0,
24,,,,,,11.0
25,,,,,12.0,
26,,,,,,11.0
27,,,,,,11.0
28,,,,,,11.0
29,,,,,,11.0
30,,,,,12.0,
31,,,,,12.0,
32,,,,,12.0,
33,,,,,,11.0
34,,,,,12.0,
35,,,,,,11.0
36,,,,,12.0,
37,,,,,,11.0
38,,,,,12.0,
39,,,,,,11.0
40,,,,,,11.0
41,,,,,,11.0
42,,,,,12.0,
43,,,,,12.0,
44,,,,,12.0,
45,,,,,,11.0
46,,,,,,11.0
47,,,,,12.0,
48,,,,,12.0,
49,,,,,12.0,
